labels,text
0,the general election on september the 6th 1989 placed our country irrevocably on the road of drastic change
0, underlying this is the growing realisation by an increasing number of south africans that only a negotiated understanding among the representative leaders of the entire population is able to ensure lasting peace
0,the alternative is growing violence tension and conflict
0, that is unacceptable and in nobodys interest
0, the well-being of all in this country is linked inextricably to the ability of the leaders to come to terms with one another on a new dispensation
0, no-one can escape this simple truth
0,on its part the government will accord the process of negotiation the highest priority
0, the aim is a totally new and just constitutional dispensation in which every inhabitant will enjoy equal rights treatment and opportunity in every sphere of endeavour - constitutional social and economic
0,i hope that this new parliament will play a constructive part in both the prelude to negotiations and the negotiating process itself
0, i wish to ask all of you who identify yourselves with the broad aim of a new south africa and that is the overwhelming majority
0, let us put petty politics aside when we discuss the future during this session
0, help us build a broad consensus about the fundamentals of a new realistic and democratic dispensation
0, let us work together on a plan that will rid our country of suspicion and steer it away from domination and radicalism of any kind
0,during the term of this new parliament we shall have to deal complimentary to one another with the normal processes of legislation and day-to-day government as well as with the process of negotiation and renewal
0,within this framework i wish to deal first with several matters more closely concerned with the normal process of government before i turn specifically to negotiation and related issues
0,the government is aware of the important part the world at large has to play in the realisation of our countrys national interests
0,without contact and co-operation with the rest of the world we cannot promote the well-being and security of our citizens
0, the dynamic developments in international politics have created new opportunities for south africa as well
0, important advances have been made among other things in our contacts abroad especially where these were precluded previously by ideological considerations
0,i hope this trend will be encouraged by the important change of climate that is taking place in south africa
0,for south africa indeed for the whole world the past year has been one of change and major upheaval
0, in eastern europe and even the soviet union itself political and economic upheaval surge forward in an unstoppable tide
0, at the same time beijing temporarily smothered with brutal violence the yearning of the people of the chinese mainland for greater freedom
0,the year of 1989 will go down in history as the year in which stalinist communism expired
0,these developments will entail unpredictable consequences for europe but they will also be of decisive importance to africa
0, those who seek to force this failure of a system on south africa should engage in a total revision of their point of view
0, it should be clear to all that it is not the answer here either
0, the new situation in eastern europe also shows that foreign intervention is no recipe for domestic change
0, it never succeeds regardless of its ideological motivation
0, the upheaval in eastern europe took place without the involvement of the big powers or of the united nations
0,the countries of southern africa are faced with a particular challenge southern africa now has an historical opportunity to set aside its conflicts and ideological differences and draw up a joint programme of reconstruction
0, it should be sufficiently attractive to ensure that the southern african region obtains adequate investment and loan capital from the industrial countries of the world
0, unless the countries of southern africa achieve stability and a common approach to economic development rapidly they will be faced by further decline and ruin
0,the government is prepared to enter into discussions with other southern african countries with the aim of formulating a realistic development plan
0, the government believes that the obstacles in the way of a conference of southern african states have now been removed sufficiently
0,hostile postures have to be replaced by co-operative ones confrontation by contact disengagement by engagement slogans by deliberate debate
0,the season of violence is over
0, the time for reconstruction and reconciliation has arrived
0,recently there have indeed been unusually positive results in south africas contacts and relations with other african states
0, during my visits to their countries i was received cordially both in private and in public by presidents mobutu chissano houphouet-boigny and kaunda
0, these leaders expressed their sincere concern about the serious economic problems in our part of the world
0, they agreed that south africa could and should play a positive part in regional co-operation and development
